"importId";"numericCode";"name";"fullName";"alpha2Code";"alpha3Code"
"78";"204";"БЕНИН";"Республика Бенин";"BJ";"BEN"
"79";"208";"ДАНИЯ";"Королевство Дания";"DK";"DNK"
"80";"212";"ДОМИНИКА";"Содружество Доминики";"DM";"DMA"
"81";"214";"ДОМИНИКАНСКАЯ РЕСПУБЛИКА";"";"DO";"DOM"
"82";"218";"ЭКВАДОР";"Республика Эквадор";"EC";"ECU"
"83";"222";"ЭЛЬ-САЛЬВАДОР";"Республика Эль-Сальвадор";"SV";"SLV"
"84";"226";"ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ";"Республика Экваториальная Гвинея";"GQ";"GNQ"
"85";"231";"ЭФИОПИЯ";"Федеративная Демократическая Республика Эфиопия";"ET";"ETH"
"86";"232";"ЭРИТРЕЯ";"Государство Эритрея";"ER";"ERI"
"87";"233";"ЭСТОНИЯ";"Эстонская Республика";"EE";"EST"
"88";"234";"ФАРЕРСКИЕ ОСТРОВА";"";"FO";"FRO"
"89";"238";"ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)";"";"FK";"FLK"
"90";"239";"ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА";"";"GS";"SGS"
"91";"242";"ФИДЖИ";"Республика Фиджи";"FJ";"FJI"
"92";"246";"ФИНЛЯНДИЯ";"Финляндская Республика";"FI";"FIN"
"93";"248";"ЭЛАНДСКИЕ ОСТРОВА";"";"АХ";"ALA"
"94";"250";"ФРАНЦИЯ";"Французская Республика";"FR";"FRA"
"95";"254";"ФРАНЦУЗСКАЯ ГВИАНА";"";"GF";"GUF"
"96";"258";"ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ";"";"PF";"PYF"
"97";"260";"ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ";"";"TF";"ATF"
"98";"262";"ДЖИБУТИ";"Республика Джибути";"DJ";"DJI"
"99";"266";"ГАБОН";"Габонская Республика";"GA";"GAB"
"100";"268";"ГРУЗИЯ";"";"GE";"GEO"
"101";"270";"ГАМБИЯ";"Исламская Республика Гамбия";"GM";"GMB"
"102";"275";"ПАЛЕСТИНА, ГОСУДАРСТВО";"Государство Палестина";"PS";"PSE"
"103";"288";"ГАНА";"Республика Гана";"GH";"GHA"
"104";"292";"ГИБРАЛТАР";"";"GI";"GIB"
"105";"296";"КИРИБАТИ";"Республика Кирибати";"KI";"KIR"
"106";"300";"ГРЕЦИЯ";"Греческая Республика";"GR";"GRC"
"107";"304";"ГРЕНЛАНДИЯ";"";"GL";"GRL"
"108";"308";"ГРЕНАДА";"";"GD";"GRD"
"109";"312";"ГВАДЕЛУПА";"";"GP";"GLP"
"110";"316";"ГУАМ";"";"GU";"GUM"
"111";"320";"ГВАТЕМАЛА";"Республика Гватемала";"GT";"GTM"
"112";"324";"ГВИНЕЯ";"Гвинейская Республика";"GN";"GIN"
"113";"328";"ГАЙАНА";"Кооперативная Республика Гайана";"GY";"GUY"
"114";"332";"ГАИТИ";"Республика Гаити";"HT";"HTI"
"115";"334";"ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД";"";"HM";"HMD"
"116";"336";"ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН)";"";"VA";"VAT"
"117";"340";"ГОНДУРАС";"Республика Гондурас";"HN";"HND"
"118";"344";"ГОНКОНГ";"Специальный административный район Гонконг Китайской Народной Республики";"HK";"HKG"
"119";"348";"ВЕНГРИЯ";"Венгрия";"HU";"HUN"
"120";"352";"ИСЛАНДИЯ";"Республика Исландия";"IS";"ISL"
"121";"360";"ИНДОНЕЗИЯ";"Республика Индонезия";"ID";"IDN"
"122";"368";"ИРАК";"Республика Ирак";"IQ";"IRQ"
"123";"372";"ИРЛАНДИЯ";"";"IE";"IRL"
"124";"376";"ИЗРАИЛЬ";"Государство Израиль";"IL";"ISR"
"125";"380";"ИТАЛИЯ";"Итальянская Республика";"IT";"ITA"
"126";"384";"КОТ Д'ИВУАР";"Республика Кот д'Ивуар";"CI";"CIV"
"127";"388";"ЯМАЙКА";"";"JM";"JAM"
"128";"400";"ИОРДАНИЯ";"Иорданское Хашимитское Королевство";"JO";"JOR"
"129";"404";"КЕНИЯ";"Республика Кения";"KE";"KEN"
"130";"408";"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА";"Корейская Народно-Демократическая Республика";"KP";"PRK"
"131";"414";"КУВЕЙТ";"Государство Кувейт";"KW";"KWT"
"132";"418";"ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА";"";"LA";"LAO"
"133";"422";"ЛИВАН";"Ливанская Республика";"LB";"LBN"
"134";"426";"ЛЕСОТО";"Королевство Лесото";"LS";"LSO"
"135";"428";"ЛАТВИЯ";"Латвийская Республика";"LV";"LVA"
"136";"430";"ЛИБЕРИЯ";"Республика Либерия";"LR";"LBR"
"137";"434";"ЛИВИЯ";"Государство Ливия";"LY";"LBY"
"138";"438";"ЛИХТЕНШТЕЙН";"Княжество Лихтенштейн";"LI";"LIE"
"139";"440";"ЛИТВА";"Литовская Республика";"LT";"LTU"
"140";"442";"ЛЮКСЕМБУРГ";"Великое Герцогство Люксембург";"LU";"LUX"
"141";"446";"МАКАО";"Специальный административный район Макао Китайской Народной Республики";"MO";"MAC"
"142";"450";"МАДАГАСКАР";"Республика Мадагаскар";"MG";"MDG"
"143";"454";"МАЛАВИ";"Республика Малави";"MW";"MWI"
"144";"458";"МАЛАЙЗИЯ";"";"MY";"MYS"
"145";"462";"МАЛЬДИВЫ";"Мальдивская Республика";"MV";"MDV"
"146";"466";"МАЛИ";"Республика Мали";"ML";"MLI"
"147";"470";"МАЛЬТА";"Республика Мальта";"MT";"MLT"
"148";"474";"МАРТИНИКА";"";"MQ";"MTQ"
"149";"478";"МАВРИТАНИЯ";"Исламская Республика Мавритания";"MR";"MRT"
"150";"480";"МАВРИКИЙ";"Республика Маврикий";"MU";"MUS"
"151";"484";"МЕКСИКА";"Мексиканские Соединенные Штаты";"MX";"MEX"
"152";"492";"МОНАКО";"Княжество Монако";"MC";"MCO"
"153";"496";"МОНГОЛИЯ";"";"MN";"MNG"
"154";"499";"ЧЕРНОГОРИЯ";"";"ME";"MNE"
"155";"500";"МОНТСЕРРАТ";"";"MS";"MSR"
"156";"504";"МАРОККО";"Королевство Марокко";"MA";"MAR"
"157";"508";"МОЗАМБИК";"Республика Мозамбик";"MZ";"MOZ"
"158";"512";"ОМАН";"Султанат Оман";"OM";"OMN"
"159";"516";"НАМИБИЯ";"Республика Намибия";"NA";"NAM"
"160";"520";"НАУРУ";"Республика Науру";"NR";"NRU"
"161";"524";"НЕПАЛ";"";"NP";"NPL"
"162";"528";"НИДЕРЛАНДЫ";"Королевство Нидерландов";"NL";"NLD"
"163";"531";"КЮРАСАО";"";"CW";"CUW"
"164";"533";"АРУБА";"";"AW";"ABW"
"165";"534";"СЕН-МАРТЕН (нидерландская часть)";"";"SX";"SXM"
"166";"535";"БОНЭЙР, СИНТ-ЭСТАТИУС И САБА";"";"BQ";"BES"
"167";"540";"НОВАЯ КАЛЕДОНИЯ";"";"NC";"NCL"
"168";"548";"ВАНУАТУ";"Республика Вануату";"VU";"VUT"
"169";"554";"НОВАЯ ЗЕЛАНДИЯ";"";"NZ";"NZL"
"170";"558";"НИКАРАГУА";"Республика Никарагуа";"NI";"NIC"
"171";"562";"НИГЕР";"Республика Нигер";"NE";"NER"
"172";"566";"НИГЕРИЯ";"Федеративная Республика Нигерия";"NG";"NGA"
"173";"570";"НИУЭ";"Ниуэ";"NU";"NIU"
"174";"574";"ОСТРОВ НОРФОЛК";"";"NF";"NFK"
"175";"578";"НОРВЕГИЯ";"Королевство Норвегия";"NO";"NOR"
"176";"580";"СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА";"Содружество Северных Марианских островов";"MP";"MNP"
"177";"581";"МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ";"";"UM";"UMI"
"178";"583";"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ";"Федеративные штаты Микронезии";"FM";"FSM"
"179";"584";"МАРШАЛЛОВЫ ОСТРОВА";"Республика Маршалловы Острова";"MH";"MHL"
"180";"585";"ПАЛАУ";"Республика Палау";"PW";"PLW"
"181";"591";"ПАНАМА";"Республика Панама";"PA";"PAN"
"182";"598";"ПАПУА-НОВАЯ ГВИНЕЯ";"Независимое Государство Папуа Новая Гвинея";"PG";"PNG"
"183";"600";"ПАРАГВАЙ";"Республика Парагвай";"PY";"PRY"
"184";"604";"ПЕРУ";"Республика Перу";"PE";"PER"
"185";"608";"ФИЛИППИНЫ";"Республика Филиппины";"PH";"PHL"
"186";"612";"ПИТКЕРН";"";"PN";"PCN"
"187";"616";"ПОЛЬША";"Республика Польша";"PL";"POL"
"188";"620";"ПОРТУГАЛИЯ";"Португальская Республика";"PT";"PRT"
"189";"624";"ГВИНЕЯ-БИСАУ";"Республика Гвинея-Бисау";"GW";"GNB"
"190";"626";"ТИМОР-ЛЕСТЕ";"Демократическая Республика Тимор-Лесте";"TL";"TLS"
"191";"630";"ПУЭРТО-РИКО";"";"PR";"PRI"
"192";"634";"КАТАР";"Государство Катар";"QA";"QAT"
"193";"638";"РЕЮНЬОН";"";"RE";"REU"
"194";"642";"РУМЫНИЯ";"";"RO";"ROU"
"196";"646";"РУАНДА";"Руандийская Республика";"RW";"RWA"
